Row ID;Order ID;Order Month;Order Year;Order Date;Ship Date;Sales Catogory;Costumer  Order Count;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales
12;CA-2015-115812;Jun;2015;09-Jun-15;2015/06/14;High;1;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;911,424
13;CA-2018-114412;Apr;2018;15-Apr-18;2018/04/20;Low;1;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;15,552
14;CA-2017-161389;Dec;2017;05-Dec-17;2017/12/10;Medium;1;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407,976
15;US-2016-118983;Nov;2016;22-Nov-16;2016/11/26;Low;1;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68,81
16;US-2016-118983;Nov;2016;22-Nov-16;2016/11/26;Low;1;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;2,544
17;CA-2015-105893;Nov;2015;11-Nov-15;2015/11/18;High;1;Standard Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;OFF-ST-10004186;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665,88
18;CA-2015-167164;May;2015;13-May-15;2015/05/15;Low;1;Second Class;AG-10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;84084;West;OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;55,5
19;CA-2015-143336;Aug;2015;27-Aug-15;2015/09/01;Low;1;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;8,56
20;CA-2015-143336;Aug;2015;27-Aug-15;2015/09/01;Medium;1;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213,48
21;CA-2015-143336;Aug;2015;27-Aug-15;2015/09/01;Low;1;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";22,72
22;CA-2017-137330;Dec;2017;09-Dec-17;2017/12/13;Low;1;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;19,46
23;CA-2017-137330;Dec;2017;09-Dec-17;2017/12/13;Low;1;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;60,34
24;US-2018-156909;Jul;2018;16-Jul-18;2018/07/18;Low;1;Second Class;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71,372
25;CA-2016-106320;Sep;2016;25-Sep-16;2016/09/30;High;1;Standard Class;EB-13870;Emily Burns;Consumer;United States;Orem;Utah;84057;West;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1044,63
26;CA-2017-121755;Jan;2017;16-Jan-17;2017/01/20;Low;1;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;11,648
27;CA-2017-121755;Jan;2017;16-Jan-17;2017/01/20;Low;1;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90,57
28;US-2016-150630;Sep;2016;17-Sep-16;2016/09/21;High;1;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083,43
29;US-2016-150630;Sep;2016;17-Sep-16;2016/09/21;Low;1;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9,618
30;US-2016-150630;Sep;2016;17-Sep-16;2016/09/21;Medium;1;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124,2
31;US-2016-150630;Sep;2016;17-Sep-16;2016/09/21;Low;1;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;3,264
32;US-2016-150630;Sep;2016;17-Sep-16;2016/09/21;Low;1;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86,304
33;US-2016-150630;Sep;2016;17-Sep-16;2016/09/21;Low;1;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6,858
34;US-2016-150630;Sep;2016;17-Sep-16;2016/09/21;Low;1;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;15,76
35;CA-2018-107727;Oct;2018;19-Oct-18;2018/10/23;Low;1;Second Class;MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central;OFF-PA-10000249;Office Supplies;Paper;Easy-staple paper;29,472
36;CA-2017-117590;Dec;2017;08-Dec-17;2017/12/10;High;1;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1097,544
37;CA-2017-117590;Dec;2017;08-Dec-17;2017/12/10;Medium;1;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190,92
38;CA-2016-117415;Dec;2016;27-Dec-16;2016/12/31;Medium;1;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113,328
39;CA-2016-117415;Dec;2016;27-Dec-16;2016/12/31;High;1;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;532,3992
40;CA-2016-117415;Dec;2016;27-Dec-16;2016/12/31;Medium;1;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-CH-10004218;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;212,058
41;CA-2016-117415;Dec;2016;27-Dec-16;2016/12/31;Medium;1;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;371,168
42;CA-2018-120999;Sep;2018;10-Sep-18;2018/09/15;Medium;1;Standard Class;LC-16930;Linda Cazamias;Corporate;United States;Naperville;Illinois;60540;Central;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;147,168
43;CA-2017-101343;Jul;2017;17-Jul-17;2017/07/22;Low;1;Standard Class;RA-19885;Ruben Ausman;Corporate;United States;Los Angeles;California;90049;West;OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77,88
44;CA-2018-139619;Sep;2018;19-Sep-18;2018/09/23;Low;1;Standard Class;ES-14080;Erin Smith;Corporate;United States;Melbourne;Florida;32935;South;OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95,616
45;CA-2017-118255;Mar;2017;11-Mar-17;2017/03/13;Low;1;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45,98
46;CA-2017-118255;Mar;2017;11-Mar-17;2017/03/13;Low;1;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;17,46
47;CA-2015-146703;Oct;2015;20-Oct-15;2015/10/25;Medium;1;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Westland;Michigan;48185;Central;OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211,96
48;CA-2017-169194;Jun;2017;20-Jun-17;2017/06/25;Low;1;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45
49;CA-2017-169194;Jun;2017;20-Jun-17;2017/06/25;Low;1;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21,8
50;CA-2016-115742;Apr;2016;18-Apr-16;2016/04/22;Low;1;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-BI-10004410;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38,22
51;CA-2016-115742;Apr;2016;18-Apr-16;2016/04/22;Low;1;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-LA-10002762;Office Supplies;Labels;Avery 485;75,18
52;CA-2016-115742;Apr;2016;18-Apr-16;2016/04/22;Low;1;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-FU-10001706;Furniture;Furnishings;Longer-Life Soft White Bulbs;6,16
53;CA-2016-115742;Apr;2016;18-Apr-16;2016/04/22;Low;1;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-CH-10003061;Furniture;Chairs;Global Leather Task Chair, Black;89,99
54;CA-2017-105816;Dec;2017;11-Dec-17;2017/12/17;Low;1;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;15,26
55;CA-2017-105816;Dec;2017;11-Dec-17;2017/12/17;High;1;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;1029,95
56;CA-2017-111682;Jun;2017;17-Jun-17;2017/06/18;Medium;1;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;208,56
57;CA-2017-111682;Jun;2017;17-Jun-17;2017/06/18;Low;1;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10001569;Office Supplies;Paper;Xerox 232;32,4
58;CA-2017-111682;Jun;2017;17-Jun-17;2017/06/18;Medium;1;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;319,41
59;CA-2017-111682;Jun;2017;17-Jun-17;2017/06/18;Low;1;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;14,56
60;CA-2017-111682;Jun;2017;17-Jun-17;2017/06/18;Low;1;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30
61;CA-2017-111682;Jun;2017;17-Jun-17;2017/06/18;Low;1;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;48,48
62;CA-2017-111682;Jun;2017;17-Jun-17;2017/06/18;Low;1;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;1,68
63;CA-2016-135545;Nov;2016;24-Nov-16;2016/11/30;Low;1;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13,98
64;CA-2016-135545;Nov;2016;24-Nov-16;2016/11/30;Low;1;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-BI-10001078;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25,824
65;CA-2016-135545;Nov;2016;24-Nov-16;2016/11/30;Medium;1;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;146,73
66;CA-2016-135545;Nov;2016;24-Nov-16;2016/11/30;Low;1;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;79,76
67;US-2016-164175;Apr;2016;30-Apr-16;2016/05/05;Medium;1;Standard Class;PS-18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central;FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;213,115
68;CA-2015-106376;Dec;2015;05-Dec-15;2015/12/10;High;1;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;OFF-AR-10002671;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1113,024
69;CA-2015-106376;Dec;2015;05-Dec-15;2015/12/10;Medium;1;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;TEC-PH-10002726;Technology;Phones;netTALK DUO VoIP Telephone Service;167,968
70;CA-2017-119823;Jun;2017;04-Jun-17;2017/06/06;Low;1;First Class;KD-16270;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75,88
71;CA-2017-106075;Sep;2017;18-Sep-17;2017/09/23;Low;1;Standard Class;HM-14980;Henry MacAllister;Consumer;United States;New York City;New York;10009;East;OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4,616
72;CA-2018-114440;Sep;2018;14-Sep-18;2018/09/17;Low;1;Second Class;TB-21520;Tracy Blumstein;Consumer;United States;Jackson;Michigan;49201;Central;OFF-PA-10004675;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";19,05
73;US-2016-134026;Apr;2016;26-Apr-16;2016/05/02;High;1;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-CH-10000513;Furniture;Chairs;High-Back Leather Manager's Chair;831,936
74;US-2016-134026;Apr;2016;26-Apr-16;2016/05/02;Low;1;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-FU-10003708;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97,04
75;US-2016-134026;Apr;2016;26-Apr-16;2016/05/02;Low;1;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;72,784
76;US-2018-118038;Dec;2018;09-Dec-18;2018/12/11;Low;1;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1,248
77;US-2018-118038;Dec;2018;09-Dec-18;2018/12/11;Low;1;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9,708
78;US-2018-118038;Dec;2018;09-Dec-18;2018/12/11;Low;1;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27,24
79;US-2015-147606;Nov;2015;26-Nov-15;2015/12/01;Low;1;Second Class;JE-15745;Joel Eaton;Consumer;United States;Houston;Texas;77070;Central;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19,3
80;CA-2017-127208;Jun;2017;12-Jun-17;2017/06/15;Medium;1;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-AP-10002118;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208,16
81;CA-2017-127208;Jun;2017;12-Jun-17;2017/06/15;Low;1;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;16,74
82;CA-2015-139451;Oct;2015;12-Oct-15;2015/10/16;Low;1;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14,9
83;CA-2015-139451;Oct;2015;12-Oct-15;2015/10/16;Low;1;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21,39
84;CA-2016-149734;Sep;2016;03-Sep-16;2016/09/08;Medium;1;Standard Class;JC-16105;Julie Creighton;Corporate;United States;Durham;North Carolina;27707;South;OFF-EN-10000927;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200,984
85;US-2018-119662;Nov;2018;13-Nov-18;2018/11/16;Medium;1;First Class;CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;230,376
86;CA-2018-140088;May;2018;28-May-18;2018/05/30;Medium;1;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Columbia;South Carolina;29203;South;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;301,96
87;CA-2018-155558;Oct;2018;26-Oct-18;2018/11/02;Low;1;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;TEC-AC-10001998;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19,99
88;CA-2018-155558;Oct;2018;26-Oct-18;2018/11/02;Low;1;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-LA-10000134;Office Supplies;Labels;Avery 511;6,16
89;CA-2017-159695;Apr;2017;05-Apr-17;2017/04/10;Medium;1;Second Class;GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;158,368
90;CA-2017-109806;Sep;2017;17-Sep-17;2017/09/22;Low;1;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20,1
91;CA-2017-109806;Sep;2017;17-Sep-17;2017/09/22;Low;1;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;73,584
92;CA-2017-109806;Sep;2017;17-Sep-17;2017/09/22;Low;1;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;6,48
93;CA-2016-149587;Jan;2016;31-Jan-16;2016/02/05;Low;1;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-PA-10003177;Office Supplies;Paper;Xerox 1999;12,96
94;CA-2016-149587;Jan;2016;31-Jan-16;2016/02/05;Low;1;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;FUR-FU-10003799;Furniture;Furnishings;"Seth Thomas 13 1/2"" Wall Clock";53,34
95;CA-2016-149587;Jan;2016;31-Jan-16;2016/02/05;Low;1;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-BI-10002852;Office Supplies;Binders;Ibico Standard Transparent Covers;32,96
96;US-2018-109484;Nov;2018;06-Nov-18;2018/11/12;Low;1;Standard Class;RB-19705;Roger Barcio;Home Office;United States;Portland;Oregon;97206;West;OFF-BI-10004738;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5,682
97;CA-2018-161018;Nov;2018;09-Nov-18;2018/11/11;Low;1;Second Class;PN-18775;Parhena Norris;Home Office;United States;New York City;New York;10009;East;FUR-FU-10000629;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;96,53
98;CA-2018-157833;Jun;2018;17-Jun-18;2018/06/20;Low;1;First Class;KD-16345;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;51,312
99;CA-2017-149223;Sep;2017;06-Sep-17;2017/09/11;Low;1;Standard Class;ER-13855;Elpida Rittenbach;Corporate;United States;Saint Paul;Minnesota;55106;Central;OFF-AP-10000358;Office Supplies;Appliances;Fellowes Basic Home/Office Series Surge Protectors;77,88
100;CA-2017-158568;Aug;2017;29-Aug-17;2017/09/02;Low;1;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-PA-10003256;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;64,624
101;CA-2017-158568;Aug;2017;29-Aug-17;2017/09/02;Low;1;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;TEC-AC-10001767;Technology;Accessories;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95,976
102;CA-2017-158568;Aug;2017;29-Aug-17;2017/09/02;Low;1;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-BI-10002609;Office Supplies;Binders;Avery Hidden Tab Dividers for Binding Systems;1,788
103;CA-2017-129903;Dec;2017;01-Dec-17;2017/12/04;Low;1;Second Class;GZ-14470;Gary Zandusky;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-PA-10004040;Office Supplies;Paper;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);23,92
104;US-2016-156867;Nov;2016;13-Nov-16;2016/11/17;Medium;1;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;TEC-AC-10001552;Technology;Accessories;Logitech K350 2.4Ghz Wireless Keyboard;238,896
105;US-2016-156867;Nov;2016;13-Nov-16;2016/11/17;Medium;1;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;FUR-FU-10004006;Furniture;Furnishings;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102,36
